train/test on models/fasttext.conf
Your CPU supports instructions that this binary was not compiled to use: SSE3 SSE4.1 SSE4.2 AVX AVX2
For maximum performance, you can install NMSLIB from sources 
2022-05-16 07:35:19,261[INFO]:zensols.deeplearn.batch.stash loaded batch 48 (train) in 0s
2022-05-16 07:35:19,264[INFO]:zensols.deeplearn.batch.stash loaded batch 49 (train) in 0s
2022-05-16 07:35:19,268[INFO]:zensols.deeplearn.batch.stash loaded batch 50 (train) in 0s
2022-05-16 07:35:19,271[INFO]:zensols.deeplearn.batch.stash loaded batch 51 (train) in 0s
2022-05-16 07:35:19,274[INFO]:zensols.deeplearn.batch.stash loaded batch 52 (train) in 0s
2022-05-16 07:35:19,278[INFO]:zensols.deeplearn.batch.stash loaded batch 53 (train) in 0s
2022-05-16 07:35:19,281[INFO]:zensols.deeplearn.batch.stash loaded batch 54 (train) in 0s
2022-05-16 07:35:19,285[INFO]:zensols.deeplearn.batch.stash loaded batch 55 (train) in 0s
2022-05-16 07:35:19,288[INFO]:zensols.deeplearn.batch.stash loaded batch 56 (train) in 0s
2022-05-16 07:35:19,291[INFO]:zensols.deeplearn.batch.stash loaded batch 57 (train) in 0s
2022-05-16 07:35:19,295[INFO]:zensols.deeplearn.batch.stash loaded batch 58 (train) in 0s
2022-05-16 07:35:19,299[INFO]:zensols.deeplearn.batch.stash loaded batch 59 (train) in 0s
2022-05-16 07:35:19,302[INFO]:zensols.deeplearn.batch.stash loaded batch 60 (train) in 0s
2022-05-16 07:35:19,306[INFO]:zensols.deeplearn.batch.stash loaded batch 61 (train) in 0s
2022-05-16 07:35:19,309[INFO]:zensols.deeplearn.batch.stash loaded batch 62 (train) in 0s
2022-05-16 07:35:19,312[INFO]:zensols.deeplearn.batch.stash loaded batch 63 (train) in 0s
2022-05-16 07:35:19,316[INFO]:zensols.deeplearn.batch.stash loaded batch 64 (train) in 0s
2022-05-16 07:35:19,319[INFO]:zensols.deeplearn.batch.stash loaded batch 65 (train) in 0s
2022-05-16 07:35:19,322[INFO]:zensols.deeplearn.batch.stash loaded batch 66 (train) in 0s
2022-05-16 07:35:19,326[INFO]:zensols.deeplearn.batch.stash loaded batch 67 (train) in 0s
2022-05-16 07:35:19,329[INFO]:zensols.deeplearn.batch.stash loaded batch 68 (train) in 0s
2022-05-16 07:35:19,332[INFO]:zensols.deeplearn.batch.stash loaded batch 69 (train) in 0s
2022-05-16 07:35:19,336[INFO]:zensols.deeplearn.batch.stash loaded batch 70 (train) in 0s
2022-05-16 07:35:19,339[INFO]:zensols.deeplearn.batch.stash loaded batch 71 (train) in 0s
2022-05-16 07:35:19,343[INFO]:zensols.deeplearn.batch.stash loaded batch 72 (train) in 0s
2022-05-16 07:35:19,346[INFO]:zensols.deeplearn.batch.stash loaded batch 73 (train) in 0s
2022-05-16 07:35:19,349[INFO]:zensols.deeplearn.batch.stash loaded batch 74 (train) in 0s
2022-05-16 07:35:19,353[INFO]:zensols.deeplearn.batch.stash loaded batch 75 (train) in 0s
2022-05-16 07:35:19,356[INFO]:zensols.deeplearn.batch.stash loaded batch 76 (train) in 0s
2022-05-16 07:35:19,360[INFO]:zensols.deeplearn.batch.stash loaded batch 77 (train) in 0s
2022-05-16 07:35:19,363[INFO]:zensols.deeplearn.batch.stash loaded batch 78 (train) in 0s
2022-05-16 07:35:19,366[INFO]:zensols.deeplearn.batch.stash loaded batch 79 (train) in 0s
2022-05-16 07:35:19,370[INFO]:zensols.deeplearn.batch.stash loaded batch 80 (train) in 0s
2022-05-16 07:35:19,373[INFO]:zensols.deeplearn.batch.stash loaded batch 81 (train) in 0s
2022-05-16 07:35:19,376[INFO]:zensols.deeplearn.batch.stash loaded batch 82 (train) in 0s
2022-05-16 07:35:19,380[INFO]:zensols.deeplearn.batch.stash loaded batch 83 (train) in 0s
2022-05-16 07:35:19,384[INFO]:zensols.deeplearn.batch.stash loaded batch 84 (train) in 0s
2022-05-16 07:35:19,387[INFO]:zensols.deeplearn.batch.stash loaded batch 85 (train) in 0s
2022-05-16 07:35:19,390[INFO]:zensols.deeplearn.batch.stash loaded batch 86 (train) in 0s
2022-05-16 07:35:19,394[INFO]:zensols.deeplearn.batch.stash loaded batch 87 (train) in 0s
2022-05-16 07:35:19,397[INFO]:zensols.deeplearn.batch.stash loaded batch 88 (train) in 0s
2022-05-16 07:35:19,401[INFO]:zensols.deeplearn.batch.stash loaded batch 89 (train) in 0s
2022-05-16 07:35:19,404[INFO]:zensols.deeplearn.batch.stash loaded batch 90 (train) in 0s
2022-05-16 07:35:19,488[INFO]:zensols.deeplearn.model.executor.status using batch limit: 9223372036854775807 for validation
2022-05-16 07:35:19,493[INFO]:zensols.deeplearn.batch.stash loaded batch 0 (validation) in 0s
2022-05-16 07:35:19,496[INFO]:zensols.deeplearn.batch.stash loaded batch 1 (validation) in 0s
2022-05-16 07:35:19,499[INFO]:zensols.deeplearn.batch.stash loaded batch 2 (validation) in 0s
2022-05-16 07:35:19,502[INFO]:zensols.deeplearn.batch.stash loaded batch 3 (validation) in 0s
2022-05-16 07:35:19,506[INFO]:zensols.deeplearn.batch.stash loaded batch 4 (validation) in 0s
2022-05-16 07:35:19,511[INFO]:zensols.deeplearn.batch.stash loaded batch 5 (validation) in 0s
2022-05-16 07:35:19,514[INFO]:zensols.deeplearn.batch.stash loaded batch 6 (validation) in 0s
2022-05-16 07:35:19,517[INFO]:zensols.deeplearn.batch.stash loaded batch 7 (validation) in 0s
2022-05-16 07:35:19,521[INFO]:zensols.deeplearn.batch.stash loaded batch 8 (validation) in 0s
2022-05-16 07:35:19,524[INFO]:zensols.deeplearn.batch.stash loaded batch 9 (validation) in 0s
2022-05-16 07:35:19,525[INFO]:zensols.deeplearn.batch.stash loaded batch 10 (validation) in 0s
2022-05-16 07:35:19,535[INFO]:zensols.deeplearn.model.executor.status loaded 91 batches in 0s
2022-05-16 07:35:19,536[INFO]:zensols.deeplearn.model.executor.status train/test sets: 80 11
2022-05-16 07:35:20,600[INFO]:zensols.deeplearn.model.executor.status created model on cpu with use cuda: True, device: cuda:0
2022-05-16 07:35:21,144[INFO]:zensols.deeplearn.model.executor.status training model <class 'zensols.deepnlp.layer.embrecurcrf.EmbeddedRecurrentCRF'> on cuda:0 for 45 epochs using learning rate 0.01
2022-05-16 07:35:21,145[INFO]:zensols.deeplearn.model.executor.progress watching update file data/model/update.json
2022-05-16 07:42:29,343[INFO]:zensols.deeplearn.model.executor.status epoch 0/45: tr: 7e+05|va min:   inf|va: 2e+05|lr:  0.01 \/
2022-05-16 07:42:29,354[INFO]:zensols.deeplearn.model.manager saved model weights to data/model/bilstm-crf_tok-fasttext/weight.pt in 0s
2022-05-16 07:42:29,378[INFO]:zensols.deeplearn.model.manager saved model state to data/model/bilstm-crf_tok-fasttext/state.pt in 0s
2022-05-16 07:42:29,378[INFO]:zensols.deeplearn.result.manager saving text results to data/model/tmp/bilstm-crf_tok-fasttext.txt
2022-05-16 07:42:29,777[INFO]:zensols.deeplearn.result.plot saving results graph to data/model/tmp/bilstm-crf_tok-fasttext.png
2022-05-16 07:49:36,134[INFO]:zensols.deeplearn.model.executor.status epoch 1/45: tr: 2e+05|va min: 2e+05|va: 86694|lr:  0.01 \/
2022-05-16 07:49:36,146[INFO]:zensols.deeplearn.model.manager saved model weights to data/model/bilstm-crf_tok-fasttext/weight.pt in 0s
2022-05-16 07:49:36,186[INFO]:zensols.deeplearn.model.manager saved model state to data/model/bilstm-crf_tok-fasttext/state.pt in 0s
2022-05-16 07:49:36,186[INFO]:zensols.deeplearn.result.manager saving text results to data/model/tmp/bilstm-crf_tok-fasttext.txt
2022-05-16 07:49:37,250[INFO]:zensols.deeplearn.result.plot saving results graph to data/model/tmp/bilstm-crf_tok-fasttext.png
2022-05-16 07:56:45,792[INFO]:zensols.deeplearn.model.executor.status epoch 2/45: tr: 89404|va min: 86694|va: 53753|lr:  0.01 \/
2022-05-16 07:56:45,804[INFO]:zensols.deeplearn.model.manager saved model weights to data/model/bilstm-crf_tok-fasttext/weight.pt in 0s
2022-05-16 07:56:45,866[INFO]:zensols.deeplearn.model.manager saved model state to data/model/bilstm-crf_tok-fasttext/state.pt in 0s
2022-05-16 07:56:45,866[INFO]:zensols.deeplearn.result.manager saving text results to data/model/tmp/bilstm-crf_tok-fasttext.txt
2022-05-16 07:56:47,323[INFO]:zensols.deeplearn.result.plot saving results graph to data/model/tmp/bilstm-crf_tok-fasttext.png
2022-05-16 08:03:55,108[INFO]:zensols.deeplearn.model.executor.status epoch 3/45: tr: 57495|va min: 53753|va: 37211|lr:  0.01 \/
2022-05-16 08:03:55,120[INFO]:zensols.deeplearn.model.manager saved model weights to data/model/bilstm-crf_tok-fasttext/weight.pt in 0s
2022-05-16 08:03:55,216[INFO]:zensols.deeplearn.model.manager saved model state to data/model/bilstm-crf_tok-fasttext/state.pt in 0s
2022-05-16 08:03:55,217[INFO]:zensols.deeplearn.result.manager saving text results to data/model/tmp/bilstm-crf_tok-fasttext.txt
2022-05-16 08:03:57,102[INFO]:zensols.deeplearn.result.plot saving results graph to data/model/tmp/bilstm-crf_tok-fasttext.png
2022-05-16 08:11:05,107[INFO]:zensols.deeplearn.model.executor.status epoch 4/45: tr: 41831|va min: 37211|va: 31795|lr:  0.01 \/
2022-05-16 08:11:05,119[INFO]:zensols.deeplearn.model.manager saved model weights to data/model/bilstm-crf_tok-fasttext/weight.pt in 0s
2022-05-16 08:11:05,250[INFO]:zensols.deeplearn.model.manager saved model state to data/model/bilstm-crf_tok-fasttext/state.pt in 0s
2022-05-16 08:11:05,250[INFO]:zensols.deeplearn.result.manager saving text results to data/model/tmp/bilstm-crf_tok-fasttext.txt
2022-05-16 08:11:07,507[INFO]:zensols.deeplearn.result.plot saving results graph to data/model/tmp/bilstm-crf_tok-fasttext.png
2022-05-16 08:18:15,814[INFO]:zensols.deeplearn.model.executor.status epoch 5/45: tr: 31444|va min: 31795|va: 24661|lr:  0.01 \/
2022-05-16 08:18:15,826[INFO]:zensols.deeplearn.model.manager saved model weights to data/model/bilstm-crf_tok-fasttext/weight.pt in 0s
2022-05-16 08:18:15,989[INFO]:zensols.deeplearn.model.manager saved model state to data/model/bilstm-crf_tok-fasttext/state.pt in 0s
2022-05-16 08:18:15,990[INFO]:zensols.deeplearn.result.manager saving text results to data/model/tmp/bilstm-crf_tok-fasttext.txt
2022-05-16 08:18:18,606[INFO]:zensols.deeplearn.result.plot saving results graph to data/model/tmp/bilstm-crf_tok-fasttext.png
2022-05-16 08:25:26,282[INFO]:zensols.deeplearn.model.executor.status epoch 6/45: tr: 24320|va min: 24661|va: 19292|lr:  0.01 \/
2022-05-16 08:25:26,294[INFO]:zensols.deeplearn.model.manager saved model weights to data/model/bilstm-crf_tok-fasttext/weight.pt in 0s
2022-05-16 08:25:26,469[INFO]:zensols.deeplearn.model.manager saved model state to data/model/bilstm-crf_tok-fasttext/state.pt in 0s
2022-05-16 08:25:26,470[INFO]:zensols.deeplearn.result.manager saving text results to data/model/tmp/bilstm-crf_tok-fasttext.txt
2022-05-16 08:25:29,491[INFO]:zensols.deeplearn.result.plot saving results graph to data/model/tmp/bilstm-crf_tok-fasttext.png
2022-05-16 08:32:36,305[INFO]:zensols.deeplearn.model.executor.status epoch 7/45: tr: 17910|va min: 19292|va: 16412|lr:  0.01 \/
2022-05-16 08:32:36,317[INFO]:zensols.deeplearn.model.manager saved model weights to data/model/bilstm-crf_tok-fasttext/weight.pt in 0s
2022-05-16 08:32:36,515[INFO]:zensols.deeplearn.model.manager saved model state to data/model/bilstm-crf_tok-fasttext/state.pt in 0s
2022-05-16 08:32:36,516[INFO]:zensols.deeplearn.result.manager saving text results to data/model/tmp/bilstm-crf_tok-fasttext.txt
2022-05-16 08:32:39,973[INFO]:zensols.deeplearn.result.plot saving results graph to data/model/tmp/bilstm-crf_tok-fasttext.png
2022-05-16 08:39:48,079[INFO]:zensols.deeplearn.model.executor.status epoch 8/45: tr: 16077|va min: 16412|va: 17119|lr:  0.01 /\
2022-05-16 08:46:56,352[INFO]:zensols.deeplearn.model.executor.status epoch 9/45: tr: 13427|va min: 16412|va: 13218|lr:  0.01 \/
2022-05-16 08:46:56,365[INFO]:zensols.deeplearn.model.manager saved model weights to data/model/bilstm-crf_tok-fasttext/weight.pt in 0s
2022-05-16 08:46:56,607[INFO]:zensols.deeplearn.model.manager saved model state to data/model/bilstm-crf_tok-fasttext/state.pt in 0s
2022-05-16 08:46:56,608[INFO]:zensols.deeplearn.result.manager saving text results to data/model/tmp/bilstm-crf_tok-fasttext.txt
2022-05-16 08:47:00,864[INFO]:zensols.deeplearn.result.plot saving results graph to data/model/tmp/bilstm-crf_tok-fasttext.png
2022-05-16 08:54:09,052[INFO]:zensols.deeplearn.model.executor.status epoch 10/45: tr: 11671|va min: 13218|va: 16002|lr:  0.01 /\
2022-05-16 09:01:17,126[INFO]:zensols.deeplearn.model.executor.status epoch 11/45: tr: 10203|va min: 13218|va: 10832|lr:  0.01 \/
2022-05-16 09:01:17,139[INFO]:zensols.deeplearn.model.manager saved model weights to data/model/bilstm-crf_tok-fasttext/weight.pt in 0s
2022-05-16 09:01:17,461[INFO]:zensols.deeplearn.model.manager saved model state to data/model/bilstm-crf_tok-fasttext/state.pt in 0s
2022-05-16 09:01:17,462[INFO]:zensols.deeplearn.result.manager saving text results to data/model/tmp/bilstm-crf_tok-fasttext.txt
2022-05-16 09:01:22,763[INFO]:zensols.deeplearn.result.plot saving results graph to data/model/tmp/bilstm-crf_tok-fasttext.png
2022-05-16 09:08:30,891[INFO]:zensols.deeplearn.model.executor.status epoch 12/45: tr:9789.4|va min: 10832|va: 11085|lr:  0.01 /\
2022-05-16 09:15:38,003[INFO]:zensols.deeplearn.model.executor.status epoch 13/45: tr:  8239|va min: 10832|va:9655.5|lr:  0.01 \/
2022-05-16 09:15:38,015[INFO]:zensols.deeplearn.model.manager saved model weights to data/model/bilstm-crf_tok-fasttext/weight.pt in 0s
2022-05-16 09:15:38,448[INFO]:zensols.deeplearn.model.manager saved model state to data/model/bilstm-crf_tok-fasttext/state.pt in 0s
2022-05-16 09:15:38,449[INFO]:zensols.deeplearn.result.manager saving text results to data/model/tmp/bilstm-crf_tok-fasttext.txt
2022-05-16 09:15:44,692[INFO]:zensols.deeplearn.result.plot saving results graph to data/model/tmp/bilstm-crf_tok-fasttext.png
2022-05-16 09:22:52,323[INFO]:zensols.deeplearn.model.executor.status epoch 14/45: tr:  7963|va min:9655.5|va: 10930|lr:  0.01 /\
2022-05-16 09:29:59,345[INFO]:zensols.deeplearn.model.executor.status epoch 15/45: tr:6776.3|va min:9655.5|va:  9238|lr:  0.01 \/
2022-05-16 09:29:59,358[INFO]:zensols.deeplearn.model.manager saved model weights to data/model/bilstm-crf_tok-fasttext/weight.pt in 0s
2022-05-16 09:29:59,876[INFO]:zensols.deeplearn.model.manager saved model state to data/model/bilstm-crf_tok-fasttext/state.pt in 0s
2022-05-16 09:29:59,881[INFO]:zensols.deeplearn.result.manager saving text results to data/model/tmp/bilstm-crf_tok-fasttext.txt
2022-05-16 09:30:07,038[INFO]:zensols.deeplearn.result.plot saving results graph to data/model/tmp/bilstm-crf_tok-fasttext.png
2022-05-16 09:37:15,529[INFO]:zensols.deeplearn.model.executor.status epoch 16/45: tr:6131.8|va min:  9238|va: 10109|lr:  0.01 /\
2022-05-16 09:44:23,184[INFO]:zensols.deeplearn.model.executor.status epoch 17/45: tr:6176.8|va min:  9238|va:8035.9|lr:  0.01 \/
2022-05-16 09:44:23,196[INFO]:zensols.deeplearn.model.manager saved model weights to data/model/bilstm-crf_tok-fasttext/weight.pt in 0s
2022-05-16 09:44:23,784[INFO]:zensols.deeplearn.model.manager saved model state to data/model/bilstm-crf_tok-fasttext/state.pt in 0s
2022-05-16 09:44:23,785[INFO]:zensols.deeplearn.result.manager saving text results to data/model/tmp/bilstm-crf_tok-fasttext.txt
2022-05-16 09:44:33,737[INFO]:zensols.deeplearn.result.plot saving results graph to data/model/tmp/bilstm-crf_tok-fasttext.png
2022-05-16 09:51:41,352[INFO]:zensols.deeplearn.model.executor.status epoch 18/45: tr:  5639|va min:8035.9|va:9037.1|lr:  0.01 /\
2022-05-16 09:58:49,546[INFO]:zensols.deeplearn.model.executor.status epoch 19/45: tr:5159.7|va min:8035.9|va:8352.4|lr:  0.01 /\
2022-05-16 10:05:57,376[INFO]:zensols.deeplearn.model.executor.status epoch 20/45: tr:4864.2|va min:8035.9|va:7461.5|lr:  0.01 \/
2022-05-16 10:05:57,389[INFO]:zensols.deeplearn.model.manager saved model weights to data/model/bilstm-crf_tok-fasttext/weight.pt in 0s
2022-05-16 10:05:58,120[INFO]:zensols.deeplearn.model.manager saved model state to data/model/bilstm-crf_tok-fasttext/state.pt in 0s
2022-05-16 10:05:58,126[INFO]:zensols.deeplearn.result.manager saving text results to data/model/tmp/bilstm-crf_tok-fasttext.txt
2022-05-16 10:06:09,769[INFO]:zensols.deeplearn.result.plot saving results graph to data/model/tmp/bilstm-crf_tok-fasttext.png
2022-05-16 10:13:18,062[INFO]:zensols.deeplearn.model.executor.status epoch 21/45: tr:4555.6|va min:7461.5|va:7710.7|lr:  0.01 /\
2022-05-16 10:20:26,281[INFO]:zensols.deeplearn.model.executor.status epoch 22/45: tr:4164.1|va min:7461.5|va:7508.1|lr:  0.01 /\
2022-05-16 10:27:35,441[INFO]:zensols.deeplearn.model.executor.status epoch 23/45: tr:3942.5|va min:7461.5|va:  8293|lr:  0.01 /\
2022-05-16 10:34:43,239[INFO]:zensols.deeplearn.model.executor.status epoch 24/45: tr:  4405|va min:7461.5|va:9428.3|lr:  0.01 /\
2022-05-16 10:41:50,999[INFO]:zensols.deeplearn.model.executor.status epoch 25/45: tr:4809.6|va min:7461.5|va:8928.8|lr:  0.01 /\
2022-05-16 10:49:00,056[INFO]:zensols.deeplearn.model.executor.status epoch 26/45: tr:4485.1|va min:7461.5|va: 10756|lr:  0.01 /\
2022-05-16 10:56:05,945[INFO]:zensols.deeplearn.model.executor.status epoch 27/45: tr:4435.3|va min:7461.5|va:9262.5|lr:  0.01 /\
2022-05-16 11:03:09,944[INFO]:zensols.deeplearn.model.executor.status epoch 28/45: tr:  4791|va min:7461.5|va: 11094|lr:  0.01 /\
2022-05-16 11:10:14,668[INFO]:zensols.deeplearn.model.executor.status epoch 29/45: tr:4333.7|va min:7461.5|va: 10095|lr:  0.01 /\
2022-05-16 11:17:18,341[INFO]:zensols.deeplearn.model.executor.status epoch 30/45: tr:4110.8|va min:7461.5|va: 10571|lr:  0.01 /\
2022-05-16 11:24:23,466[INFO]:zensols.deeplearn.model.executor.status epoch 31/45: tr:3641.9|va min:7461.5|va:9533.1|lr: 0.001 /\
2022-05-16 11:31:28,223[INFO]:zensols.deeplearn.model.executor.status epoch 32/45: tr:2650.2|va min:7461.5|va:8709.5|lr: 0.001 /\
2022-05-16 11:38:33,027[INFO]:zensols.deeplearn.model.executor.status epoch 33/45: tr:2542.6|va min:7461.5|va: 11173|lr: 0.001 /\
2022-05-16 11:45:37,831[INFO]:zensols.deeplearn.model.executor.status epoch 34/45: tr: 13165|va min:7461.5|va: 28260|lr: 0.001 /\
2022-05-16 11:52:41,652[INFO]:zensols.deeplearn.model.executor.status epoch 35/45: tr: 50437|va min:7461.5|va: 42793|lr: 0.001 /\
2022-05-16 11:59:46,426[INFO]:zensols.deeplearn.model.executor.status epoch 36/45: tr: 86707|va min:7461.5|va: 60203|lr: 0.001 /\
2022-05-16 12:06:50,696[INFO]:zensols.deeplearn.model.executor.status epoch 37/45: tr: 1e+05|va min:7461.5|va: 59449|lr: 0.001 /\
2022-05-16 12:13:56,972[INFO]:zensols.deeplearn.model.executor.status epoch 38/45: tr: 1e+05|va min:7461.5|va: 71600|lr: 0.001 /\
2022-05-16 12:21:03,440[INFO]:zensols.deeplearn.model.executor.status epoch 39/45: tr: 2e+05|va min:7461.5|va: 77610|lr: 0.001 /\
2022-05-16 12:28:07,624[INFO]:zensols.deeplearn.model.executor.status epoch 40/45: tr: 2e+05|va min:7461.5|va: 81942|lr: 0.001 /\
2022-05-16 12:35:12,339[INFO]:zensols.deeplearn.model.executor.status epoch 41/45: tr: 2e+05|va min:7461.5|va: 92434|lr: 0.001 /\
2022-05-16 12:42:19,625[INFO]:zensols.deeplearn.model.executor.status epoch 42/45: tr: 2e+05|va min:7461.5|va: 1e+05|lr:0.0001 /\
2022-05-16 12:49:26,827[INFO]:zensols.deeplearn.model.executor.status epoch 43/45: tr: 2e+05|va min:7461.5|va: 1e+05|lr:0.0001 /\
2022-05-16 12:56:31,756[INFO]:zensols.deeplearn.model.executor.status epoch 44/45: tr: 2e+05|va min:7461.5|va: 1e+05|lr:0.0001 /\
2022-05-16 12:56:31,756[INFO]:zensols.deeplearn.model.executor.status epoch threshold reached at 45
2022-05-16 12:56:31,757[INFO]:zensols.deeplearn.model.executor.status final minimum validation loss: 7461.5217396129265, 14 decreases
2022-05-16 12:56:32,067[INFO]:zensols.deeplearn.model.manager loaded check point from data/model/bilstm-crf_tok-fasttext/state.pt in 0s
2022-05-16 12:56:33,811[INFO]:zensols.deeplearn.model.manager saved model state to data/model/bilstm-crf_tok-fasttext/state.pt in 1s
2022-05-16 12:56:33,812[INFO]:zensols.deeplearn.model.executor.status executed train in 5 hours, 21 minutes, 14s
2022-05-16 12:56:33,812[INFO]:zensols.deeplearn.model.executor.status deallocating 91 batches
2022-05-16 12:56:34,116[INFO]:zensols.deeplearn.model.facade trained in 5 hours, 21 minutes, 15s
2022-05-16 12:56:34,118[INFO]:zensols.deeplearn.model.executor.status reloading model weights
2022-05-16 12:56:35,148[INFO]:zensols.deeplearn.model.executor.status created model on cpu with use cuda: True, device: cuda:0
2022-05-16 12:56:35,789[INFO]:zensols.deeplearn.model.manager loaded check point from data/model/bilstm-crf_tok-fasttext/state.pt in 0s
2022-05-16 12:56:36,172[INFO]:zensols.deeplearn.model.manager loaded model from data/model/bilstm-crf_tok-fasttext on device cpu
2022-05-16 12:56:36,173[INFO]:zensols.deeplearn.model.facade testing...
2022-05-16 12:56:36,173[INFO]:zensols.deeplearn.model.executor.status batch iteration: gpu, limit: 9223372036854775807, caching: True, cached: 1
2022-05-16 12:56:36,173[INFO]:zensols.deeplearn.model.executor.status preparing datasets using iteration: gpu
2022-05-16 12:56:36,173[INFO]:zensols.deeplearn.model.executor.status using batch limit: 9223372036854775807 for test
2022-05-16 12:56:36,177[INFO]:zensols.deeplearn.batch.stash loaded batch 91 (test) in 0s
2022-05-16 12:56:36,181[INFO]:zensols.deeplearn.batch.stash loaded batch 92 (test) in 0s
2022-05-16 12:56:36,184[INFO]:zensols.deeplearn.batch.stash loaded batch 93 (test) in 0s
2022-05-16 12:56:36,187[INFO]:zensols.deeplearn.batch.stash loaded batch 94 (test) in 0s
2022-05-16 12:56:36,191[INFO]:zensols.deeplearn.batch.stash loaded batch 95 (test) in 0s
2022-05-16 12:56:36,195[INFO]:zensols.deeplearn.batch.stash loaded batch 96 (test) in 0s
